"MaMon","TenMon","SoTinChi","Loai","MoTa"
"ELE14104","Thị giác máy tính","3","Bat buoc","Học môn này để xử lý ảnh và xây dựng ứng dụng nhận dạng bằng máy tính."
"ELE1415","Hệ thống nhúng","3","Bat buoc","Học môn này để thiết kế, lập trình và giao tiếp phần cứng cho hệ thống nhúng."
"ELE14102","Mạng cảm biến","3","Bat buoc","Học môn này để thiết kế mạng cảm biến và thu thập dữ liệu trong hệ thống IoT."
"ELE1406","Cơ sở mật mã học","2","Bat buoc","Học môn này để bảo vệ dữ liệu bằng các kỹ thuật mã hóa và xác thực."
"ELE1436","Thực tập","4","Bat buoc","Học môn này để làm quen môi trường làm việc thực tế và rèn kỹ năng nghề nghiệp."
"ELE1423","Thiết kế hệ thống VLSI","2","Bat buoc","Học môn này để dùng công cụ thiết kế hỗ trợ máy tính cho mạch và hệ thống điện tử."
"ELE1432","Xử lý tiếng nói","3","Bat buoc","Học môn này để phân tích tiếng nói và xây dựng ứng dụng nhận dạng, tăng cường âm thanh."
"ELE1309","Điện tử số","3","Bat buoc","Học môn này để thiết kế mạch số và phát triển hệ thống logic."
"ELE1325","Matlab và ứng dụng","2","Bat buoc","Học môn này để mô phỏng, tính toán và kiểm chứng thuật toán kỹ thuật nhanh chóng."
"ELE1302","Cấu kiện điện tử","2","Bat buoc","Học môn này để hiểu linh kiện và phân tích, thiết kế mạch điện tử cơ bản."
"ELE1437","Đồ án tốt nghiệp","6","Bat buoc","Học môn này để tổng hợp kiến thức và hoàn thiện đề tài tốt nghiệp."
"ELE1428","Truyền thông số","2","Bat buoc","Học môn này để hiểu và xây dựng hệ thống truyền dữ liệu số hiệu quả."
"ELE1310","Điện tử tương tự","3","Bat buoc","Học môn này để hiểu linh kiện và phân tích, thiết kế mạch điện tử cơ bản."
"ELE1308","Điện tử công suất","3","Bat buoc","Học môn này để thiết kế mạch biến đổi công suất và điều khiển năng lượng."
"ELE1422","Thị giác máy tính","2","Bat buoc","Học môn này để xử lý ảnh và xây dựng ứng dụng nhận dạng bằng máy tính."
"ELE13101","Xử lý tín hiệu số","3","Bat buoc","Học môn này để phân tích, lọc và xử lý tín hiệu trong các ứng dụng số."
"ELE1435","Thực hành chuyên sâu","2","Bat buoc","Học môn này để rèn kỹ năng thao tác, triển khai và kiểm thử trên hệ thống thực tế."
"ELE1427","Thiết kế ngoại vi và kỹ thuật ghép nối","2","Bat buoc","Học môn này để kết nối vi xử lý với thiết bị ngoại vi và xây dựng hệ thống hoàn chỉnh."
"ELE1407","Công nghệ phát thanh truyền hình số","2","Bat buoc","Học môn này để hiểu công nghệ phát thanh truyền hình số và quy trình truyền dẫn nội dung."
"ELE1412","Đồ án thiết kế mạch điện tử","2","Bat buoc","Học môn này để áp dụng kiến thức vào thiết kế và triển khai một sản phẩm cụ thể."
"ELE1411","Đồ án thiết kế hệ thống số","2","Bat buoc","Học môn này để áp dụng kiến thức vào thiết kế và triển khai một sản phẩm cụ thể."
"ELE1386","Nhập môn kỹ thuật điện tử","2","Bat buoc","Học môn này để nắm nền tảng ngành và định hướng lộ trình học tập."
"ELE1421","Mạng cảm biến","2","Bat buoc","Học môn này để thiết kế mạng cảm biến và thu thập dữ liệu trong hệ thống IoT."
"ELE1413","Đồ án thiết kế hệ thống nhúng","2","Bat buoc","Học môn này để áp dụng kiến thức vào thiết kế và triển khai một sản phẩm cụ thể."
"ELE1403","Chuyên đề xử lý tín hiệu và truyền thông","2","Bat buoc","Học môn này để phân tích, lọc và xử lý tín hiệu trong các ứng dụng số."
"ELE1414","Đồ án xử lý tín hiệu số","2","Bat buoc","Học môn này để áp dụng kiến thức vào thiết kế và triển khai một sản phẩm cụ thể."
"ELE1434","Truyền thông đa phương tiện","2","Bat buoc","Học môn này để hiểu và xây dựng hệ thống truyền dữ liệu số hiệu quả."
"ELE1431","Xử lý tín hiệu số thời gian thực","2","Bat buoc","Học môn này để phân tích, lọc và xử lý tín hiệu trong các ứng dụng số."
"ELE1309_CLC","Điện tử số","3","Bat buoc","Học môn này để thiết kế mạch số và phát triển hệ thống logic."
